concept,prefLabel
 https://www.eagle-network.eu/voc/typeins/lod/75 , Acclamation d'éphèbes 
 https://www.eagle-network.eu/voc/typeins/lod/74 , Acclamation de divinité 
 https://www.eagle-network.eu/voc/typeins/lod/73 , Akklamation 
 https://www.eagle-network.eu/voc/typeins/lod/78 , Apostrophe 
 https://www.eagle-network.eu/voc/typeins/lod/76 , Defixio 
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift 
 https://www.eagle-network.eu/voc/typeins/lod/90 , Obras publicas 
 https://www.eagle-network.eu/voc/typeins/lod/88 , tit. dedicatorius 
 https://www.eagle-network.eu/voc/typeins/lod/97 , Borne de cadastration 
 https://www.eagle-network.eu/voc/typeins/lod/96 , term. non sep. 
 https://www.eagle-network.eu/voc/typeins/lod/98 , Borne de praedium 
 https://www.eagle-network.eu/voc/typeins/lod/99 , Borne de sanctuaire 
 https://www.eagle-network.eu/voc/typeins/lod/100 , Borne frontière 
 https://www.eagle-network.eu/voc/typeins/lod/101 , Borne funéraire 
 https://www.eagle-network.eu/voc/typeins/lod/2 , Fasti 
 https://www.eagle-network.eu/voc/typeins/lod/12 , Constitution 
 https://www.eagle-network.eu/voc/typeins/lod/1 ," Fasti, Leges, Acta "
 https://www.eagle-network.eu/voc/typeins/lod/46 , Convention de droit local 
 https://www.eagle-network.eu/voc/typeins/lod/13 , Convention internationale 
 https://www.eagle-network.eu/voc/typeins/lod/81 , Cultual 
 https://www.eagle-network.eu/voc/typeins/lod/80 , Weihinschrift 
 https://www.eagle-network.eu/voc/typeins/lod/398 , Consolatory decree 
 https://www.eagle-network.eu/voc/typeins/lod/15 , Décret d'association 
 https://www.eagle-network.eu/voc/typeins/lod/16 , Décret de cité 
 https://www.eagle-network.eu/voc/typeins/lod/17 , Décret de communauté 
 https://www.eagle-network.eu/voc/typeins/lod/18 , Décret du préteur 
 https://www.eagle-network.eu/voc/typeins/lod/19 , Décret impérial 
 https://www.eagle-network.eu/voc/typeins/lod/20 , Décret provincial 
 https://www.eagle-network.eu/voc/typeins/lod/89 , Dédicace de statue 
 https://www.eagle-network.eu/voc/typeins/lod/27 , Statue inscription 
 https://www.eagle-network.eu/voc/typeins/lod/83 , Dédicace votive 
 https://www.eagle-network.eu/voc/typeins/lod/372 , votive inscription 
 https://www.eagle-network.eu/voc/typeins/lod/77 , Imprécation 
 https://www.eagle-network.eu/voc/typeins/lod/22 , Édit 
 https://www.eagle-network.eu/voc/typeins/lod/4 , Law 
 https://www.eagle-network.eu/voc/typeins/lod/70 , Elogium 
 https://www.eagle-network.eu/voc/typeins/lod/72 , Hommage impériale 
 https://www.eagle-network.eu/voc/typeins/lod/69 , Honorific inscription 
 https://www.eagle-network.eu/voc/typeins/lod/93 , Epitaphe métrique 
 https://www.eagle-network.eu/voc/typeins/lod/92 , Sepulcralis 
 https://www.eagle-network.eu/voc/typeins/lod/108 , Verzeichnis 
 https://www.eagle-network.eu/voc/typeins/lod/395 , Commentarii 
 https://www.eagle-network.eu/voc/typeins/lod/23 , Fondation 
 https://www.eagle-network.eu/voc/typeins/lod/24 , Horologion 
 https://www.eagle-network.eu/voc/typeins/lod/3 , Kalender 
 https://www.eagle-network.eu/voc/typeins/lod/5 ," Rechtliche Verfügung, öffentlich "
 https://www.eagle-network.eu/voc/typeins/lod/49 ," Rechtliche Verfügung, privat "
 https://www.eagle-network.eu/voc/typeins/lod/40 , Règle 
 https://www.eagle-network.eu/voc/typeins/lod/41 , Règlement 
 https://www.eagle-network.eu/voc/typeins/lod/42 , Réglement d’irrigation 
 https://www.eagle-network.eu/voc/typeins/lod/44 , Senatus consultum 
 https://www.eagle-network.eu/voc/typeins/lod/50 , Fideicomiso 
 https://www.eagle-network.eu/voc/typeins/lod/85 , Gebet 
 https://www.eagle-network.eu/voc/typeins/lod/105 , tit. in artis operib. inscr. 
 https://www.eagle-network.eu/voc/typeins/lod/6 , Loi coloniale 
 https://www.eagle-network.eu/voc/typeins/lod/8 , Loi de cité 
 https://www.eagle-network.eu/voc/typeins/lod/7 , Loi d’association 
 https://www.eagle-network.eu/voc/typeins/lod/9 , Loi municipale 
 https://www.eagle-network.eu/voc/typeins/lod/10 , Loi sacrée 
 https://www.eagle-network.eu/voc/typeins/lod/32 , Liste de magistrats 
 https://www.eagle-network.eu/voc/typeins/lod/33 , Liste de prêtres 
 https://www.eagle-network.eu/voc/typeins/lod/34 , Liste de sacrifices 
 https://www.eagle-network.eu/voc/typeins/lod/102 , Meilen-/Leugenstein 
 https://www.eagle-network.eu/voc/typeins/lod/91 , Militärdiplom 
 https://www.eagle-network.eu/voc/typeins/lod/79 , Sacer 
 https://www.eagle-network.eu/voc/typeins/lod/383 , Christian 
 https://www.eagle-network.eu/voc/typeins/lod/376 , Inscription funéraire ou votive 
 https://www.eagle-network.eu/voc/typeins/lod/110 , Signature de l’artisan 
 https://www.eagle-network.eu/voc/typeins/lod/378 , Inscription votive ou honorifique 
