concept,prefLabel,keywords_term_text,n
 https://www.eagle-network.eu/voc/typeins/lod/92 , Sepulcralis ,Grabinschrift,26340
NA,NA,unbestimmt,20830
 https://www.eagle-network.eu/voc/typeins/lod/80 , Weihinschrift ,Weihinschrift,13131
NA,NA,Besitzer-/Herstellerinschrift,4535
 https://www.eagle-network.eu/voc/typeins/lod/69 , Honorific inscription ,Ehreninschrift,3378
NA,NA,Bau-/Stifterinschrift,2649
 https://www.eagle-network.eu/voc/typeins/lod/102 , Meilen-/Leugenstein ,Meilen-/Leugenstein,1686
NA,NA,Aufschrift,1354
 https://www.eagle-network.eu/voc/typeins/lod/92 , Sepulcralis ,Grabinschrift?,1338
 https://www.eagle-network.eu/voc/typeins/lod/80 , Weihinschrift ,Weihinschrift?,848
NA,NA,Bau-/Stifterinschrift?,637
 https://www.eagle-network.eu/voc/typeins/lod/69 , Honorific inscription ,Ehreninschrift?,618
NA,NA,Besitzer-/Herstellerinschrift?,592
 https://www.eagle-network.eu/voc/typeins/lod/91 , Militärdiplom ,Militärdiplom,499
 https://www.eagle-network.eu/voc/typeins/lod/73 , Akklamation ,Akklamation,481
NA,NA,NA,346
 https://www.eagle-network.eu/voc/typeins/lod/108 , Verzeichnis ,Verzeichnis,314
 https://www.eagle-network.eu/voc/typeins/lod/76 , Defixio ,Defixio,293
NA,NA,Beischrift,234
NA,NA,Grenzmarkierung,219
NA,NA,"Rechtliche Verfügung, öffentlich",208
NA,NA,Aufschrift?,201
NA,NA,Brief,113
 https://www.eagle-network.eu/voc/typeins/lod/70 , Elogium ,Elogium,84
NA,NA,Sitzinschrift,75
 https://www.eagle-network.eu/voc/typeins/lod/70 , Elogium ,Elogium?,59
NA,NA,Beischrift?,53
 https://www.eagle-network.eu/voc/typeins/lod/85 , Gebet ,Gebet,50
 https://www.eagle-network.eu/voc/typeins/lod/108 , Verzeichnis ,Verzeichnis?,46
 https://www.eagle-network.eu/voc/typeins/lod/73 , Akklamation ,Akklamation?,46
NA,NA,"Rechtliche Verfügung, öffentlich?",40
 https://www.eagle-network.eu/voc/typeins/lod/102 , Meilen-/Leugenstein ,Meilen-/Leugenstein?,39
NA,NA,"Rechtliche Verfügung, privat",30
NA,NA,Grenzmarkierung?,25
 https://www.eagle-network.eu/voc/typeins/lod/76 , Defixio ,Defixio?,16
NA,NA,Assignationsinschrift,13
 https://www.eagle-network.eu/voc/typeins/lod/3 , Kalender ,Kalender,12
NA,NA,Sitzinschrift?,11
NA,NA,"Rechtliche Verfügung, privat?",10
NA,NA,Brief?,8
 https://www.eagle-network.eu/voc/typeins/lod/85 , Gebet ,Gebet?,6
NA,NA,Adnuntiatio,3
NA,NA,Assignationsinschrift?,3
 https://www.eagle-network.eu/voc/typeins/lod/3 , Kalender ,Kalender?,2
 https://www.eagle-network.eu/voc/typeins/lod/91 , Militärdiplom ,Militärdiplom?,1
