keywords_term,keywords_term_text,n
92,Grabinschrift,26340
143,unbestimmt,20830
80,Weihinschrift,13131
311,Besitzer-/Herstellerinschrift,4535
69,Ehreninschrift,3378
261,Bau-/Stifterinschrift,2649
102,Meilen-/Leugenstein,1686
115,Aufschrift,1354
92,Grabinschrift?,1338
80,Weihinschrift?,848
261,Bau-/Stifterinschrift?,637
69,Ehreninschrift?,618
311,Besitzer-/Herstellerinschrift?,592
91,Militärdiplom,499
73,Akklamation,481
NA,NA,346
108,Verzeichnis,314
76,Defixio,293
109,Beischrift,234
293,Grenzmarkierung,219
,"Rechtliche Verfügung, öffentlich",208
115,Aufschrift?,201
,Brief,113
70,Elogium,84
111,Sitzinschrift,75
70,Elogium?,59
109,Beischrift?,53
85,Gebet,50
108,Verzeichnis?,46
73,Akklamation?,46
,"Rechtliche Verfügung, öffentlich?",40
102,Meilen-/Leugenstein?,39
,"Rechtliche Verfügung, privat",30
293,Grenzmarkierung?,25
76,Defixio?,16
116,Assignationsinschrift,13
3,Kalender,12
111,Sitzinschrift?,11
,"Rechtliche Verfügung, privat?",10
,Brief?,8
85,Gebet?,6
113,Adnuntiatio,3
116,Assignationsinschrift?,3
3,Kalender?,2
91,Militärdiplom?,1
